,skill,label
0,html,web_tasarim
1, javascript,web_tasarim
2, jquery,web_tasarim
3, github,web_tasarim
4, photoshop illustrator,web_tasarim
5,wordpress,web_tasarim
6, mysql,web_tasarim
7, html,web_tasarim
8, javascript,web_tasarim
9,raporlama,web_tasarim
10, veri analizi,web_tasarim
11,office programlari,web_tasarim
12,ekip calismasi,web_tasarim
13, google analytics,web_tasarim
14,wordpress,web_tasarim
15, mysql,web_tasarim
16, html,web_tasarim
17, digital pazarlama,web_tasarim
18,analitik dusunen,web_tasarim
19, html,web_tasarim
20, angular,web_tasarim
21, jquery,web_tasarim
22, fronted development,web_tasarim
23, bootstrap,web_tasarim
24, react,web_tasarim
25, photoshop,web_tasarim
26,react,web_tasarim
27, javascript,web_tasarim
28,fronted developer,web_tasarim
29, html,web_tasarim
30, javascript,web_tasarim
31, jquery,web_tasarim
32, bootstrap,web_tasarim
33,html,web_tasarim
34, photoshop,web_tasarim
35, iletisimi kuvvetli,web_tasarim
36,veri tabani,web_tasarim
37, core angular,web_tasarim
38, node elasticsearch,web_tasarim
39, scrum,web_tasarim
40,html ,web_tasarim
41, jquery,web_tasarim
42, javascript,web_tasarim
43, bootstrap,web_tasarim
44, smarty twig blade,web_tasarim
45, hosting,web_tasarim
46, photoshop sketch,web_tasarim
47, fronted developer,web_tasarim
48,javascript,web_tasarim
49, jquery,web_tasarim
50, html,web_tasarim
51, mysql,web_tasarim
52, webapi,web_tasarim
53,sketch invision adobe photoshop adobe illustrator,web_tasarim
54, analitik dusunen,web_tasarim
55, birden fazla is yuruten,web_tasarim
56, ekip calismasi,web_tasarim
57,html,web_tasarim
58, react native,web_tasarim
59, mysql,web_tasarim
60, javascript,web_tasarim
61,grafik tasarim,web_tasarim
62,html,web_tasarim
63, javascript,web_tasarim
64, bootstrap,web_tasarim
65, angularjs,web_tasarim
66, grunt gulp,web_tasarim
67,html,web_tasarim
68, jquery,web_tasarim
69, responsive design,web_tasarim
70, ingilizce,web_tasarim
71, ekip calismasi,web_tasarim
72, digital pazarlama,web_tasarim
73, arastirmayi seven,web_tasarim
74, isletim sistemleri,web_tasarim
75, hosting domain yonetimi,web_tasarim
76,raporlam,web_tasarim
77, gorsel gucu yuksek,web_tasarim
78, sosyal medya,web_tasarim
79, html,web_tasarim
80, javascript,web_tasarim
81, mysql,web_tasarim
82, google analytics,web_tasarim
83, responsive mobil tasarim,web_tasarim
84, image editor,web_tasarim
85, html ,web_tasarim
86,javascript ,web_tasarim
87,bootstrap ,web_tasarim
88,jquery ,web_tasarim
89,ticaret sitesi yonetimi,web_tasarim
90, mysql,web_tasarim
91, ajax json,web_tasarim
92,grafik tasarim,web_tasarim
93,  html ,web_tasarim
94,bootstrap,web_tasarim
95, wordpress,web_tasarim
96, mobile responsive,web_tasarim
97, adobe dreamweaver,web_tasarim
98, photoshop illustrator indesign after effects,web_tasarim
99, ekip calismasi,web_tasarim
100, ticaret,web_tasarim
101, ingilizce,web_tasarim
102,sorumluluk sahibi,web_tasarim
103, python django ,web_tasarim
104, linux gentoo ubuntu ,web_tasarim
105, mysql ,web_tasarim
106,postgresql,web_tasarim
107,proxy sunucularina hakimiyet ,web_tasarim
108, github,web_tasarim
109, raporlama,web_tasarim
110,html ,web_tasarim
111,jquery,web_tasarim
112, responsive design,web_tasarim
113, wordpress ,web_tasarim
114, video icerik olusturabilme,web_tasarim
115, isletim sistemleri,web_tasarim
116, gorsel duzenleme,web_tasarim
117, digital pazarlama,web_tasarim
118, tasarim,web_tasarim
119,html ,web_tasarim
120,javascript,web_tasarim
121, ingilizce,web_tasarim
122, site tasarimi,web_tasarim
123, sosyal medya,web_tasarim
124, iletisimi kuvvetli,web_tasarim
125, office programlari,web_tasarim
126,react ,web_tasarim
127,redux,web_tasarim
128, javascript,web_tasarim
129,analitik dusunebilen ,web_tasarim
130, ingilizce,web_tasarim
131, sorumluluk sahibi,web_tasarim
132, kendini gelistiren,web_tasarim
133,fronted developer,web_tasarim
134,angular,web_tasarim
135, javascript,web_tasarim
136, jquery,web_tasarim
137, bootstrap,web_tasarim
138,html,web_tasarim
139, zeplin,web_tasarim
140,tasarim,web_tasarim
141, html,web_tasarim
142, javascript,web_tasarim
143,html,web_tasarim
144, javascript,web_tasarim
145, jquery,web_tasarim
146,ingilizce,web_tasarim
147, veri tabani,web_tasarim
148, sorumluluk sahibi,web_tasarim
149, analitik dusunen,web_tasarim
150,dokumantasyon,web_tasarim
151,  raporlama,web_tasarim
152, full stack developer,web_tasarim
153, nesneye dayali kodlama,web_tasarim
154,microsoft entity framework,web_tasarim
155,  design patterns,web_tasarim
156,html,web_tasarim
157, javascript,web_tasarim
158,  jquery ,web_tasarim
159,angularjs ,web_tasarim
160,ajax,web_tasarim
161,responsive design framework,web_tasarim
162,mysql ,web_tasarim
163,mssql ,web_tasarim
164,mongo,web_tasarim
165,ingilizce,web_tasarim
166,javascript ,web_tasarim
167,html ,web_tasarim
168,bootstrap,web_tasarim
169,google analytics,web_tasarim
170,responsive adaptive tasarim,web_tasarim
171,wordpress,web_tasarim
172, html ,web_tasarim
173,javascript,web_tasarim
174,cpanel plesk hosting ,web_tasarim
175,visual studio ,web_tasarim
176,photoshop coreldraw,web_tasarim
177,grafiksel analiz tasarim ,web_tasarim
178,ingilizce,web_tasarim
179, sorumluluk sahibi,web_tasarim
180, ,web_tasarim
181, veritabani ,web_tasarim
182, html,web_tasarim
183, javascript,web_tasarim
184, jquery,web_tasarim
185, bootstrap,web_tasarim
186,guler yuzlu,web_tasarim
187,bulut ,web_tasarim
188,tsql ,web_tasarim
189,jquery,web_tasarim
190,  yorum satiri yazan,web_tasarim
191,ingilizce,web_tasarim
192,html ,web_tasarim
193,javascript,web_tasarim
194, jquery,web_tasarim
195, bootstrap ,web_tasarim
196,analitik dusunme,web_tasarim
197,yazili sozlu iletisim becerileri gelismis,web_tasarim
198,ekip calismasi,web_tasarim
199, postgresql,web_tasarim
200, mysql,web_tasarim
201,visual studio ,web_tasarim
202,veri tabani,web_tasarim
203, nesneye dayali kodlama,web_tasarim
204, muhasebe,web_tasarim
205, finans,web_tasarim
206, ingilizce,web_tasarim
207, tecrubeli,web_tasarim
208,html,web_tasarim
209, json,web_tasarim
210,bootstrap ,web_tasarim
211,linux,web_tasarim
212, kendini gelistiren,web_tasarim
213,veri tabani,web_tasarim
214, ekip calismasi,web_tasarim
215,python,web_tasarim
216, react,web_tasarim
217, kendini gelistiren,web_tasarim
218, inglizce,web_tasarim
219, raporlama,web_tasarim
220,django,web_tasarim
221, laravel ,web_tasarim
222,javascript,web_tasarim
223,ticaret,web_tasarim
224, html,web_tasarim
225, javascript,web_tasarim
226, mysql,web_tasarim
227, jquery,web_tasarim
228, ajax,web_tasarim
229, json,web_tasarim
230, angular,web_tasarim
231, cpanel plesk hosting,web_tasarim
232,google analystics,web_tasarim
233, ingilizce,web_tasarim
234, kendini gelistiren,web_tasarim
235, cozum odakli,web_tasarim
236,html,web_tasarim
237, frontend ,web_tasarim
238,html,web_tasarim
239, ajax,web_tasarim
240,typescript ,web_tasarim
241,sass,web_tasarim
242, less processor ,web_tasarim
243,java ,web_tasarim
244,kotlin server,web_tasarim
245,photoshop illustrator,web_tasarim
246, mysql,web_tasarim
247, javascript,web_tasarim
248, ajax,web_tasarim
249, jquery,web_tasarim
250, html,web_tasarim
251, bootstrap,web_tasarim
252,html,web_tasarim
253, mysql,web_tasarim
254, ingilizce,web_tasarim
255, analitik dusunen,web_tasarim
256, iletisim becerilerine sahip,web_tasarim
257,  linux centos ,web_tasarim
258,json,web_tasarim
259,guvenlik,web_tasarim
260,html,web_tasarim
261, json,web_tasarim
262,bootstrap ,web_tasarim
263,jquery,web_tasarim
264, angular,web_tasarim
265,google analystics,web_tasarim
266,cpanel plesk hosting,web_tasarim
267,adobe photoshop,web_tasarim
268,ingilizce,web_tasarim
269, veri tabani,web_tasarim
270, guler yuzlu,web_tasarim
271,frontend,web_tasarim
272, javascript,web_tasarim
273, angular,web_tasarim
274, ingilizce,web_tasarim
275, html,web_tasarim
276, bitbucket ,web_tasarim
277, ajax,web_tasarim
278, makine ogrenmesi,web_tasarim
279, derin ogrenme,web_tasarim
280,java ,web_tasarim
281,python ,web_tasarim
282,django,web_tasarim
283,  google cloud,web_tasarim
284,javascript,web_tasarim
285, jquery,web_tasarim
286, html,web_tasarim
287,  adobe photoshop,web_tasarim
288,ingilizce,web_tasarim
289,kendini gelistiren,web_tasarim
290,iletisim becerine sahip,web_tasarim
291, digital ajans,web_tasarim
292, ingilizce,web_tasarim
293, analitik dusunen,web_tasarim
294,veri tabani,web_tasarim
295, raporlama,web_tasarim
296, html ,web_tasarim
297,javascript,web_tasarim
298, jquery,web_tasarim
299, bootstrap ,web_tasarim
300,skeleton kutuphanesi,web_tasarim
301,sass less islemci kutuphanelsi,web_tasarim
302, photoshop ,web_tasarim
303,visual studio ,web_tasarim
304,iletisim becerine sahip,web_tasarim
305, icerik yonetim sistemleri,web_tasarim
306,javascript,web_tasarim
307, react,web_tasarim
308, mobil uygulama,web_tasarim
309, nesneye dayali kodlama,web_tasarim
310, veri tabani,web_tasarim
311, analitik dusunen,web_tasarim
312, ,web_tasarim
313,grafik tasarim ,web_tasarim
314, adobe illustrator ,web_tasarim
315,adobe photoshop,web_tasarim
316,adobe indesign ,web_tasarim
317,html,web_tasarim
318,adobe premiere dreamweaver,web_tasarim
319,adobe after effects ,web_tasarim
320,kendini gelistiren,web_tasarim
321,javascript,web_tasarim
322, veri guvenligi,web_tasarim
323,nosql,web_tasarim
324,html,web_tasarim
325,ingilizce,web_tasarim
326, angular,web_tasarim
327, react,web_tasarim
328,typescript,web_tasarim
329, iletisimi kuvvetli,web_tasarim
330, ekip calismasi,web_tasarim
331,html,web_tasarim
332, marka tasarimi,web_tasarim
333, photoshop illustrator,web_tasarim
334,html,web_tasarim
335, jquery,web_tasarim
336, javascript,web_tasarim
337,responsive layout ,web_tasarim
338,xhtml,web_tasarim
339, html ,web_tasarim
340,ajax ,web_tasarim
341,javascript ,web_tasarim
342,responsive,web_tasarim
343, mssql,web_tasarim
344,java,web_tasarim
345, swift,web_tasarim
346, android studio,web_tasarim
347, xcode,web_tasarim
348,analitik dusunen,web_tasarim
349,json,web_tasarim
350,ingilizce,web_tasarim
351,html ,web_tasarim
352,ajax ,web_tasarim
353,mysql,web_tasarim
354, jquery,web_tasarim
355, bootstrap,web_tasarim
356, wordpress,web_tasarim
357, linux,web_tasarim
358,rest ,web_tasarim
359,soap ,web_tasarim
360,json ,web_tasarim
361,javascript ,web_tasarim
362,html,web_tasarim
363,wordpress ,web_tasarim
364,office programlari,web_tasarim
365,adobe photoshop ,web_tasarim
366,adope fireworks ,web_tasarim
367,sketch ,web_tasarim
368,sosyal medya,web_tasarim
369,grafik tasarim ,web_tasarim
370,html,web_tasarim
371,online ticaret,web_tasarim
372,javascript,web_tasarim
373, html,web_tasarim
374,devexpress,web_tasarim
375,raporlama,web_tasarim
376, ingilizce,web_tasarim
377, html ,web_tasarim
378,xhtml ,web_tasarim
379,http ,web_tasarim
380,json ,web_tasarim
381,ajax,web_tasarim
382, javascript,web_tasarim
383, jquery,web_tasarim
384,guvenlik,web_tasarim
385,mysql,web_tasarim
386, json,web_tasarim
387,html,web_tasarim
388,tasarim,web_tasarim
389,bootstrap,web_tasarim
390, photoshop  ,web_tasarim
391, ingilizce,web_tasarim
392,ticaret,web_tasarim
393, kategori duzenleme,web_tasarim
394,html,web_tasarim
395, ingilizce,web_tasarim
396,photoshop ,web_tasarim
397,fireworks dreamwevar ,web_tasarim
398,html ,web_tasarim
399,wordpress ,web_tasarim
400,bootstrap,web_tasarim
401, html,web_tasarim
402, react ,web_tasarim
403,redux ,web_tasarim
404,nodejs,web_tasarim
405, extreact ,web_tasarim
406,coffeescript ,web_tasarim
407,typescript ,web_tasarim
408,less ,web_tasarim
409,sass ,web_tasarim
410,soap,web_tasarim
411,rest,web_tasarim
412,html javascript ,web_tasarim
413,react,web_tasarim
414,fonksiyonel programlama,web_tasarim
415, devops,web_tasarim
416,rest ,web_tasarim
417,graphql,web_tasarim
418,node,web_tasarim
419,json,web_tasarim
420, javascript ,web_tasarim
421,ecmascript ,web_tasarim
422,typescript,web_tasarim
423,sass ,web_tasarim
424,less ,web_tasarim
425,postcss,web_tasarim
426,react,web_tasarim
427,javascript,web_tasarim
428, versiyon kontrol ,web_tasarim
429, ingilizce,web_tasarim
430,guvenlik,web_tasarim
431, full stack,web_tasarim
432, nesneye dayali programlama,web_tasarim
433,html,web_tasarim
434,javascript,web_tasarim
435,nosql,web_tasarim
436,javascript,web_tasarim
437, angularjs,web_tasarim
438, react,web_tasarim
439,knockout,web_tasarim
440,backbone,web_tasarim
441,html,web_tasarim
442,jquery,web_tasarim
443,react,web_tasarim
444,typscript,web_tasarim
445, less ,web_tasarim
446,sass ,web_tasarim
447,responsive ,web_tasarim
448,inglizce,web_tasarim
449,frontend developer,web_tasarim
450,html,web_tasarim
451, bootstrap,web_tasarim
452, javascript,web_tasarim
453, jquery,web_tasarim
454,typescript,web_tasarim
455, angularjs,web_tasarim
456, html,web_tasarim
457, javascript,web_tasarim
458, json ,web_tasarim
459,jquery ,web_tasarim
460,soap,web_tasarim
461,photoshop illustrator,web_tasarim
462,wordpress,web_tasarim
463,html,web_tasarim
464,cpanel,web_tasarim
465,javascript,web_tasarim
466,react ,web_tasarim
467,typescript ,web_tasarim
468,html,web_tasarim
469, restful apis,web_tasarim
470, sass ,web_tasarim
471,less,web_tasarim
472, javascript ,web_tasarim
473,jquery ,web_tasarim
474,ajax,web_tasarim
475,soap,web_tasarim
476,rest,web_tasarim
477,json,web_tasarim
478,ingilizce,web_tasarim
479,html sass ,web_tasarim
480,modern javascript ,web_tasarim
481,react ,web_tasarim
482,redux,web_tasarim
483,vuex,web_tasarim
484,photoshop sketch ,web_tasarim
485,yazilim gelistirme,web_tasarim
486, gorsel tasarim,web_tasarim
487, wordpress,web_tasarim
488, html,web_tasarim
489,office programlari,is_analizi_raporlama
490,  microsoft axapta,is_analizi_raporlama
491,iletisim becerilerine sahip,is_analizi_raporlama
492, kendini gelistiren,is_analizi_raporlama
493,veri analizi,is_analizi_raporlama
494, veri analitigi,is_analizi_raporlama
495, musteri yonetimi,is_analizi_raporlama
496, raporlama,is_analizi_raporlama
497,office programlari,is_analizi_raporlama
498, ingilizce,is_analizi_raporlama
499, yazilim gelistirme,is_analizi_raporlama
500,problem analizi ve cozumu,is_analizi_raporlama
501, organizasyon,is_analizi_raporlama
502,iliskisel veri tabani,is_analizi_raporlama
503, office programlari,is_analizi_raporlama
504, yazilim gelistirme,is_analizi_raporlama
505,proje yonetim ,is_analizi_raporlama
506, yazilim test,is_analizi_raporlama
507,analitik dusunen,is_analizi_raporlama
508, surec analizi,is_analizi_raporlama
509, raporlama,is_analizi_raporlama
510,ekip liderligi,is_analizi_raporlama
511,sorumluluk sahibi,is_analizi_raporlama
512,finans,is_analizi_raporlama
513,sayisal analiz,is_analizi_raporlama
514,inglizce,is_analizi_raporlama
515,iletisim becerine sahip,is_analizi_raporlama
516,kendine guvenen,is_analizi_raporlama
517,analiz yapan,is_analizi_raporlama
518,raporlama,is_analizi_raporlama
519,ingilizce,is_analizi_raporlama
520, programlama,is_analizi_raporlama
521,algoritma,is_analizi_raporlama
522,veri tabani,is_analizi_raporlama
523,hata analizi,is_analizi_raporlama
524, office programlari,is_analizi_raporlama
525,urun gelistirme,is_analizi_raporlama
526,iletisim becerilerine sahip,is_analizi_raporlama
527,yazilim gelistirme,is_analizi_raporlama
528,analiz,is_analizi_raporlama
529,ingilizce,is_analizi_raporlama
530,problem yonetimi,is_analizi_raporlama
531,analiz,is_analizi_raporlama
532,raporlama,is_analizi_raporlama
533,fizibilite,is_analizi_raporlama
534,istatistik,is_analizi_raporlama
535,office programlari,is_analizi_raporlama
536,surec analizi,is_analizi_raporlama
537,sigortacilik,is_analizi_raporlama
538,analitik dusunen,is_analizi_raporlama
539,raporlama,is_analizi_raporlama
540,iletisim becerilerine sahip,is_analizi_raporlama
541,veri yorumlama,is_analizi_raporlama
542, analiz,is_analizi_raporlama
543,akis diyagramlari,is_analizi_raporlama
544,sistem tasarimi,is_analizi_raporlama
545,veri yapilari,is_analizi_raporlama
546,office programlari,is_analizi_raporlama
547,surec yonetimi,is_analizi_raporlama
548,analitik dusunen,is_analizi_raporlama
549,ekonoetri,is_analizi_raporlama
550,teknik analiz,is_analizi_raporlama
551,raporlama,is_analizi_raporlama
552,test senaryo,is_analizi_raporlama
553,analiz,is_analizi_raporlama
554,ingilizce,is_analizi_raporlama
555,finans,is_analizi_raporlama
556,analiz,is_analizi_raporlama
557, cbap,is_analizi_raporlama
558,ccba ,is_analizi_raporlama
559,yazilim gelistirme ve test,is_analizi_raporlama
560, analiz,is_analizi_raporlama
561,office programlari,is_analizi_raporlama
562,soap rest servis,is_analizi_raporlama
563, analitik dusunen,is_analizi_raporlama
564,hizli ogrenen,is_analizi_raporlama
565,test,is_analizi_raporlama
566, analiz,is_analizi_raporlama
567,isletim sistemleri,is_analizi_raporlama
568,bulut,is_analizi_raporlama
569,sanallastirma,is_analizi_raporlama
570,guvenlik,is_analizi_raporlama
571,analiz,is_analizi_raporlama
572,kalite yonetim sistemi,is_analizi_raporlama
573, statik dinamik biyomekanik testleri,is_analizi_raporlama
574,ingilizce,is_analizi_raporlama
575,raporlama,is_analizi_raporlama
576,office programlari,is_analizi_raporlama
577,muhasebe,is_analizi_raporlama
578,bankacilik,is_analizi_raporlama
579,analiz,is_analizi_raporlama
580,test,is_analizi_raporlama
581,office programlari,is_analizi_raporlama
582,ingilizce,is_analizi_raporlama
583,word ,is_analizi_raporlama
584,excel ,is_analizi_raporlama
585,access project ,is_analizi_raporlama
586,visio ,is_analizi_raporlama
587,analiz,is_analizi_raporlama
588,veri tabani,is_analizi_raporlama
589,office programlari,is_analizi_raporlama
590,excel,is_analizi_raporlama
591,proje yonetimi,is_analizi_raporlama
592,proje gelistirme,is_analizi_raporlama
593,teknik analiz,is_analizi_raporlama
594,fonksiyonel test,is_analizi_raporlama
595,analitik dusunme,is_analizi_raporlama
596,proje yonetme,is_analizi_raporlama
597,ingilizce,is_analizi_raporlama
598,analitik dusunen,is_analizi_raporlama
599,sorumluluk sahibi,is_analizi_raporlama
600,waterfall,is_analizi_raporlama
601, cbap sertifikasi,is_analizi_raporlama
602,kendini gelistiren,is_analizi_raporlama
603,ingilizce,is_analizi_raporlama
604,analitik dusunen,is_analizi_raporlama
605,problem cozme,is_analizi_raporlama
606,kayit sistemi,is_analizi_raporlama
607,finans,is_analizi_raporlama
608,test,is_analizi_raporlama
609,analiz,is_analizi_raporlama
610,raporlama,is_analizi_raporlama
611,veri tabami,is_analizi_raporlama
612,office programlari,is_analizi_raporlama
613,telekom,is_analizi_raporlama
614,analiz,is_analizi_raporlama
615,raporlama,is_analizi_raporlama
616,raporlama,is_analizi_raporlama
617,analiz,is_analizi_raporlama
618,satis analizi,is_analizi_raporlama
619,raporlama,is_analizi_raporlama
620,stok analizi,is_analizi_raporlama
621, google analytics ,is_analizi_raporlama
622,satis stratejisi,is_analizi_raporlama
623,ingilizce,is_analizi_raporlama
624,surec akis modelleme,is_analizi_raporlama
625,ingilizce,is_analizi_raporlama
626,surec analizi,is_analizi_raporlama
627,ihtiyac analizi,is_analizi_raporlama
628,raporlama,is_analizi_raporlama
629,office programlari,is_analizi_raporlama
630,office programlari,is_analizi_raporlama
631,gida analizi,is_analizi_raporlama
632,kimya,is_analizi_raporlama
633,ekip calismasi,is_analizi_raporlama
634,finans,is_analizi_raporlama
635,veri tabani ,is_analizi_raporlama
636, analiz ,is_analizi_raporlama
637, ihtiyac analizi ,is_analizi_raporlama
638,sistem analizi ,is_analizi_raporlama
639,case agile programlama ,is_analizi_raporlama
640,diagram ,is_analizi_raporlama
641, test case,is_analizi_raporlama
642,elyaf analizi ,is_analizi_raporlama
643, mikroskopik analiz ,is_analizi_raporlama
644, elyaf analizi uzmani,is_analizi_raporlama
645,kimya,is_analizi_raporlama
646,oyuncak analizi,is_analizi_raporlama
647, cocuk kirtasiye urunlerinin guvenlik testleri,is_analizi_raporlama
648,fiziksel test,is_analizi_raporlama
649,ingilizce ,is_analizi_raporlama
650,ingilizce,is_analizi_raporlama
651,analitik dusunen,is_analizi_raporlama
652,sabirli ,is_analizi_raporlama
653, office programlari,is_analizi_raporlama
654, trafik kasko konut dask ferdi kaza winsure sigortacilik paket programi bilgisine sahip ,is_analizi_raporlama
655,sigorta sektoru,is_analizi_raporlama
656,urun tasarimi,is_analizi_raporlama
657,proje yonetimi ,is_analizi_raporlama
658,altyapi tasarimlari,is_analizi_raporlama
659,raporlama,is_analizi_raporlama
660,analiz,is_analizi_raporlama
661,cozum uretebilen,is_analizi_raporlama
662,ekip calismasi,is_analizi_raporlama
663,iletisin becerilerine sahip,is_analizi_raporlama
664,ingilizce,is_analizi_raporlama
665, kimya ,is_analizi_raporlama
666,kontrol laboratuvari,is_analizi_raporlama
667, office programlari,is_analizi_raporlama
668,analitik dusunen,is_analizi_raporlama
669, cozum odakli,is_analizi_raporlama
670, gelisime acik ,is_analizi_raporlama
671,ekip calismasina yatkin ,is_analizi_raporlama
672, analiz,is_analizi_raporlama
673,ingilizce ,is_analizi_raporlama
674, analitik dusunen,is_analizi_raporlama
675,arastirmayi seven,is_analizi_raporlama
676,problem cozmeyi seven ekip calismasina yatkin ,is_analizi_raporlama
677,sonuc odakli ,is_analizi_raporlama
678,takip yonu kuvvetli ,is_analizi_raporlama
679,ticaret ,is_analizi_raporlama
680,test senaryo,is_analizi_raporlama
681,analiz,is_analizi_raporlama
682,ingilizce,is_analizi_raporlama
683,raporlama,is_analizi_raporlama
684,veri analizi,is_analizi_raporlama
685,ekip calismasina yatkin,is_analizi_raporlama
686, analiz ,is_analizi_raporlama
687,raporlama,is_analizi_raporlama
688, sunum ,is_analizi_raporlama
689, cozum uretmeyi seven ,is_analizi_raporlama
690,dinamik ,is_analizi_raporlama
691,sonuc odakli ,is_analizi_raporlama
692,takipci ,is_analizi_raporlama
693,ingilizce ,is_analizi_raporlama
694, gorsel ekran tasarimi,is_analizi_raporlama
695, test senaryosu,is_analizi_raporlama
696, hata sorun yonetim ,is_analizi_raporlama
697,raporlama,is_analizi_raporlama
698, surec analizi ,is_analizi_raporlama
699,test senaryolari,is_analizi_raporlama
700, office programlari,is_analizi_raporlama
701, scrum ,is_analizi_raporlama
702,project server ,is_analizi_raporlama
703,disiplinli calisma ,is_analizi_raporlama
704,talep yonetimi uygulama gelistirme ,is_analizi_raporlama
705,seyahat teknolojileri ,is_analizi_raporlama
706,ingilizce ,is_analizi_raporlama
707, sorumluluk sahibi ,is_analizi_raporlama
708,problem cozme,is_analizi_raporlama
709,arastirmaci ,is_analizi_raporlama
710,yenilikci ,is_analizi_raporlama
711,iletisim becerilerine sahip,is_analizi_raporlama
712,surec analizi,is_analizi_raporlama
713,  modelleme,is_analizi_raporlama
714,uretim sektoru,is_analizi_raporlama
715,ingilizce ,is_analizi_raporlama
716,yazilim,is_analizi_raporlama
717, kodlama ,is_analizi_raporlama
718, office programlari,is_analizi_raporlama
719, ikna yetenegi ,is_analizi_raporlama
720,liderlik ,is_analizi_raporlama
721, analitik dusunen,is_analizi_raporlama
722, cozum odakli,is_analizi_raporlama
723,ekip calismasinda uyumlu,is_analizi_raporlama
724,detay analizi,is_analizi_raporlama
725,raporlama,is_analizi_raporlama
726,ingilizce,is_analizi_raporlama
727,veri yorumlama ,is_analizi_raporlama
728,veri analiz ,is_analizi_raporlama
729, surec akislari,is_analizi_raporlama
730,akis diyagramlari ,is_analizi_raporlama
731,modelleme ,is_analizi_raporlama
732,oracle ,is_analizi_raporlama
733,yazilim gelistirme ,is_analizi_raporlama
734,veri tabani tasarimi ,is_analizi_raporlama
735,sistem testleri,is_analizi_raporlama
736,saglik,is_analizi_raporlama
737,analiz,is_analizi_raporlama
738,ekip calismasina yatkin,is_analizi_raporlama
739,analitik dusunen,is_analizi_raporlama
740,analiz,is_analizi_raporlama
741,,is_analizi_raporlama
742,analiz,is_analizi_raporlama
743, fonksiyonel tasarim ,is_analizi_raporlama
744,test,is_analizi_raporlama
745, sistemsel tasarim,is_analizi_raporlama
746, hata yonetimi ,is_analizi_raporlama
747,java teknolojileri ,is_analizi_raporlama
748, veri tabani,is_analizi_raporlama
749,oracle ,is_analizi_raporlama
750,test senaryosu diyagramlari ,is_analizi_raporlama
751,proje talep yonetimi ,is_analizi_raporlama
752,raporlama,is_analizi_raporlama
753,office programlari,is_analizi_raporlama
754,ingilizce,is_analizi_raporlama
755,saglik,is_analizi_raporlama
756,veri tabani,is_analizi_raporlama
757,sonuc odakli yaklasim,is_analizi_raporlama
758,proje yonetimi,is_analizi_raporlama
759,raporlama,is_analizi_raporlama
760,analitik dusunen,is_analizi_raporlama
761,ingilizce,is_analizi_raporlama
762,scrum.cozum mimarilari,is_analizi_raporlama
763,hybris backoffice kokpitleri ,is_analizi_raporlama
764,surucu ehliyeti,is_analizi_raporlama
765,tibbi laboratuvar ,is_analizi_raporlama
766,bakteri,is_analizi_raporlama
767,office programlari,is_analizi_raporlama
768,veri yapilari,is_analizi_raporlama
769,office programlari,is_analizi_raporlama
770, proje yonetimi,is_analizi_raporlama
771,surec yonetimi,is_analizi_raporlama
772,scrum ,is_analizi_raporlama
773,waterfall ,is_analizi_raporlama
774,raporlama ,is_analizi_raporlama
775,analitik dusunen,is_analizi_raporlama
776, problem cozme yetenegine sahip ,is_analizi_raporlama
777,iletisim becerilerine sahip,is_analizi_raporlama
778,ekip calismasina yatkin,is_analizi_raporlama
779,analiz ,is_analizi_raporlama
780, test ,is_analizi_raporlama
