,skill,label,ilan_no
0,html,web_tasarim,0
1, javascript,web_tasarim,0
2, jquery,web_tasarim,0
3, github,web_tasarim,0
4, photoshop illustrator,web_tasarim,0
5,wordpress,web_tasarim,1
6, mysql,web_tasarim,1
7, html,web_tasarim,1
8, javascript,web_tasarim,1
9,raporlama,web_tasarim,2
10, veri analizi,web_tasarim,2
11,office programlari,web_tasarim,2
12,ekip calismasi,web_tasarim,2
13, google analytics,web_tasarim,2
14,wordpress,web_tasarim,3
15, mysql,web_tasarim,3
16, html,web_tasarim,3
17, digital pazarlama,web_tasarim,3
18,analitik dusunen,web_tasarim,4
19, html,web_tasarim,4
20, angular,web_tasarim,4
21, jquery,web_tasarim,4
22, fronted development,web_tasarim,4
23, bootstrap,web_tasarim,4
24, react,web_tasarim,4
25, photoshop,web_tasarim,4
26,react,web_tasarim,5
27, javascript,web_tasarim,5
28,fronted developer,web_tasarim,6
29, html,web_tasarim,6
30, javascript,web_tasarim,6
31, jquery,web_tasarim,6
32, bootstrap,web_tasarim,6
33,html,web_tasarim,7
34, photoshop,web_tasarim,7
35, iletisimi kuvvetli,web_tasarim,7
36,veri tabani,web_tasarim,8
37, core angular,web_tasarim,8
38, node elasticsearch,web_tasarim,8
39, scrum,web_tasarim,8
40,html ,web_tasarim,9
41, jquery,web_tasarim,9
42, javascript,web_tasarim,9
43, bootstrap,web_tasarim,9
44, smarty twig blade,web_tasarim,9
45, hosting,web_tasarim,9
46, photoshop sketch,web_tasarim,9
47, fronted developer,web_tasarim,9
48,javascript,web_tasarim,10
49, jquery,web_tasarim,10
50, html,web_tasarim,10
51, mysql,web_tasarim,10
52, webapi,web_tasarim,10
53,sketch invision adobe photoshop adobe illustrator,web_tasarim,11
54, analitik dusunen,web_tasarim,11
55, birden fazla is yuruten,web_tasarim,11
56, ekip calismasi,web_tasarim,11
57,html,web_tasarim,12
58, react native,web_tasarim,12
59, mysql,web_tasarim,12
60, javascript,web_tasarim,12
61,grafik tasarim,web_tasarim,13
62,html,web_tasarim,14
63, javascript,web_tasarim,14
64, bootstrap,web_tasarim,14
65, angularjs,web_tasarim,14
66, grunt gulp,web_tasarim,14
67,html,web_tasarim,15
68, jquery,web_tasarim,15
69, responsive design,web_tasarim,15
70, ingilizce,web_tasarim,15
71, ekip calismasi,web_tasarim,15
72, digital pazarlama,web_tasarim,15
73, arastirmayi seven,web_tasarim,15
74, isletim sistemleri,web_tasarim,15
75, hosting domain yonetimi,web_tasarim,15
76,raporlam,web_tasarim,16
77, gorsel gucu yuksek,web_tasarim,16
78, sosyal medya,web_tasarim,16
79, html,web_tasarim,16
80, javascript,web_tasarim,16
81, mysql,web_tasarim,16
82, google analytics,web_tasarim,16
83, responsive mobil tasarim,web_tasarim,16
84, image editor,web_tasarim,16
85, html ,web_tasarim,17
86,javascript ,web_tasarim,17
87,bootstrap ,web_tasarim,17
88,jquery ,web_tasarim,17
89,ticaret sitesi yonetimi,web_tasarim,17
90, mysql,web_tasarim,17
91, ajax json,web_tasarim,17
92,grafik tasarim,web_tasarim,18
93,  html ,web_tasarim,18
94,bootstrap,web_tasarim,18
95, wordpress,web_tasarim,18
96, mobile responsive,web_tasarim,18
97, adobe dreamweaver,web_tasarim,18
98, photoshop illustrator indesign after effects,web_tasarim,18
99, ekip calismasi,web_tasarim,18
100, ticaret,web_tasarim,18
101, ingilizce,web_tasarim,18
102,sorumluluk sahibi,web_tasarim,19
103, python django ,web_tasarim,19
104, linux gentoo ubuntu ,web_tasarim,19
105, mysql ,web_tasarim,19
106,postgresql,web_tasarim,19
107,proxy sunucularina hakimiyet ,web_tasarim,19
108, github,web_tasarim,19
109, raporlama,web_tasarim,19
110,html ,web_tasarim,20
111,jquery,web_tasarim,20
112, responsive design,web_tasarim,20
113, wordpress ,web_tasarim,20
114, video icerik olusturabilme,web_tasarim,20
115, isletim sistemleri,web_tasarim,20
116, gorsel duzenleme,web_tasarim,20
117, digital pazarlama,web_tasarim,20
118, tasarim,web_tasarim,20
119,html ,web_tasarim,21
120,javascript,web_tasarim,21
121, ingilizce,web_tasarim,21
122, site tasarimi,web_tasarim,21
123, sosyal medya,web_tasarim,21
124, iletisimi kuvvetli,web_tasarim,21
125, office programlari,web_tasarim,21
126,react ,web_tasarim,22
127,redux,web_tasarim,22
128, javascript,web_tasarim,22
129,analitik dusunebilen ,web_tasarim,22
130, ingilizce,web_tasarim,22
131, sorumluluk sahibi,web_tasarim,22
132, kendini gelistiren,web_tasarim,22
133,fronted developer,web_tasarim,23
134,angular,web_tasarim,23
135, javascript,web_tasarim,23
136, jquery,web_tasarim,23
137, bootstrap,web_tasarim,23
138,html,web_tasarim,23
139, zeplin,web_tasarim,23
140,tasarim,web_tasarim,24
141, html,web_tasarim,24
142, javascript,web_tasarim,24
143,html,web_tasarim,25
144, javascript,web_tasarim,25
145, jquery,web_tasarim,25
146,ingilizce,web_tasarim,25
147, veri tabani,web_tasarim,25
148, sorumluluk sahibi,web_tasarim,25
149, analitik dusunen,web_tasarim,25
150,dokumantasyon,web_tasarim,26
151,  raporlama,web_tasarim,26
152, full stack developer,web_tasarim,26
153, nesneye dayali kodlama,web_tasarim,26
154,microsoft entity framework,web_tasarim,26
155,  design patterns,web_tasarim,26
156,html,web_tasarim,26
157, javascript,web_tasarim,26
158,  jquery ,web_tasarim,26
159,angularjs ,web_tasarim,26
160,ajax,web_tasarim,26
161,responsive design framework,web_tasarim,26
162,mysql ,web_tasarim,26
163,mssql ,web_tasarim,26
164,mongo,web_tasarim,26
165,ingilizce,web_tasarim,27
166,javascript ,web_tasarim,27
167,html ,web_tasarim,27
168,bootstrap,web_tasarim,27
169,google analytics,web_tasarim,28
170,responsive adaptive tasarim,web_tasarim,28
171,wordpress,web_tasarim,28
172, html ,web_tasarim,28
173,javascript,web_tasarim,28
174,cpanel plesk hosting ,web_tasarim,28
175,visual studio ,web_tasarim,29
176,photoshop coreldraw,web_tasarim,29
177,grafiksel analiz tasarim ,web_tasarim,29
178,ingilizce,web_tasarim,29
179, sorumluluk sahibi,web_tasarim,29
180, ,web_tasarim,29
181, veritabani ,web_tasarim,30
182, html,web_tasarim,30
183, javascript,web_tasarim,30
184, jquery,web_tasarim,30
185, bootstrap,web_tasarim,30
186,guler yuzlu,web_tasarim,30
187,bulut ,web_tasarim,31
188,tsql ,web_tasarim,31
189,jquery,web_tasarim,31
190,  yorum satiri yazan,web_tasarim,31
191,ingilizce,web_tasarim,31
192,html ,web_tasarim,32
193,javascript,web_tasarim,32
194, jquery,web_tasarim,32
195, bootstrap ,web_tasarim,32
196,analitik dusunme,web_tasarim,32
197,yazili sozlu iletisim becerileri gelismis,web_tasarim,32
198,ekip calismasi,web_tasarim,32
199, postgresql,web_tasarim,32
200, mysql,web_tasarim,32
201,visual studio ,web_tasarim,33
202,veri tabani,web_tasarim,34
203, nesneye dayali kodlama,web_tasarim,34
204, muhasebe,web_tasarim,34
205, finans,web_tasarim,34
206, ingilizce,web_tasarim,34
207, tecrubeli,web_tasarim,34
208,html,web_tasarim,35
209, json,web_tasarim,35
210,bootstrap ,web_tasarim,35
211,linux,web_tasarim,35
212, kendini gelistiren,web_tasarim,35
213,veri tabani,web_tasarim,36
214, ekip calismasi,web_tasarim,36
215,python,web_tasarim,37
216, react,web_tasarim,37
217, kendini gelistiren,web_tasarim,37
218, inglizce,web_tasarim,37
219, raporlama,web_tasarim,37
220,django,web_tasarim,37
221, laravel ,web_tasarim,37
222,javascript,web_tasarim,37
223,ticaret,web_tasarim,38
224, html,web_tasarim,38
225, javascript,web_tasarim,38
226, mysql,web_tasarim,38
227, jquery,web_tasarim,38
228, ajax,web_tasarim,38
229, json,web_tasarim,38
230, angular,web_tasarim,38
231, cpanel plesk hosting,web_tasarim,38
232,google analystics,web_tasarim,38
233, ingilizce,web_tasarim,38
234, kendini gelistiren,web_tasarim,38
235, cozum odakli,web_tasarim,38
236,html,web_tasarim,39
237, frontend ,web_tasarim,39
238,html,web_tasarim,39
239, ajax,web_tasarim,39
240,typescript ,web_tasarim,39
241,sass,web_tasarim,39
242, less processor ,web_tasarim,39
243,java ,web_tasarim,39
244,kotlin server,web_tasarim,39
245,photoshop illustrator,web_tasarim,40
246, mysql,web_tasarim,40
247, javascript,web_tasarim,40
248, ajax,web_tasarim,40
249, jquery,web_tasarim,40
250, html,web_tasarim,40
251, bootstrap,web_tasarim,40
252,html,web_tasarim,41
253, mysql,web_tasarim,41
254, ingilizce,web_tasarim,41
255, analitik dusunen,web_tasarim,41
256, iletisim becerilerine sahip,web_tasarim,41
257,  linux centos ,web_tasarim,41
258,json,web_tasarim,41
259,guvenlik,web_tasarim,41
260,html,web_tasarim,42
261, json,web_tasarim,42
262,bootstrap ,web_tasarim,42
263,jquery,web_tasarim,42
264, angular,web_tasarim,42
265,google analystics,web_tasarim,42
266,cpanel plesk hosting,web_tasarim,42
267,adobe photoshop,web_tasarim,42
268,ingilizce,web_tasarim,42
269, veri tabani,web_tasarim,42
270, guler yuzlu,web_tasarim,42
271,frontend,web_tasarim,43
272, javascript,web_tasarim,43
273, angular,web_tasarim,43
274, ingilizce,web_tasarim,43
275, html,web_tasarim,43
276, bitbucket ,web_tasarim,43
277, ajax,web_tasarim,43
278, makine ogrenmesi,web_tasarim,43
279, derin ogrenme,web_tasarim,43
280,java ,web_tasarim,43
281,python ,web_tasarim,43
282,django,web_tasarim,43
283,  google cloud,web_tasarim,43
284,javascript,web_tasarim,44
285, jquery,web_tasarim,44
286, html,web_tasarim,44
287,  adobe photoshop,web_tasarim,44
288,ingilizce,web_tasarim,44
289,kendini gelistiren,web_tasarim,44
290,iletisim becerine sahip,web_tasarim,45
291, digital ajans,web_tasarim,45
292, ingilizce,web_tasarim,45
293, analitik dusunen,web_tasarim,45
294,veri tabani,web_tasarim,45
295, raporlama,web_tasarim,45
296, html ,web_tasarim,46
297,javascript,web_tasarim,46
298, jquery,web_tasarim,46
299, bootstrap ,web_tasarim,46
300,skeleton kutuphanesi,web_tasarim,46
301,sass less islemci kutuphanelsi,web_tasarim,46
302, photoshop ,web_tasarim,46
303,visual studio ,web_tasarim,46
304,iletisim becerine sahip,web_tasarim,46
305, icerik yonetim sistemleri,web_tasarim,46
306,javascript,web_tasarim,47
307, react,web_tasarim,47
308, mobil uygulama,web_tasarim,47
309, nesneye dayali kodlama,web_tasarim,47
310, veri tabani,web_tasarim,47
311, analitik dusunen,web_tasarim,47
312, ,web_tasarim,47
313,grafik tasarim ,web_tasarim,48
314, adobe illustrator ,web_tasarim,48
315,adobe photoshop,web_tasarim,48
316,adobe indesign ,web_tasarim,48
317,html,web_tasarim,48
318,adobe premiere dreamweaver,web_tasarim,48
319,adobe after effects ,web_tasarim,48
320,kendini gelistiren,web_tasarim,48
321,javascript,web_tasarim,49
322, veri guvenligi,web_tasarim,49
323,nosql,web_tasarim,49
324,html,web_tasarim,49
325,ingilizce,web_tasarim,49
326, angular,web_tasarim,49
327, react,web_tasarim,49
328,typescript,web_tasarim,49
329, iletisimi kuvvetli,web_tasarim,49
330, ekip calismasi,web_tasarim,49
331,html,web_tasarim,50
332, marka tasarimi,web_tasarim,50
333, photoshop illustrator,web_tasarim,50
334,html,web_tasarim,51
335, jquery,web_tasarim,51
336, javascript,web_tasarim,51
337,responsive layout ,web_tasarim,51
338,xhtml,web_tasarim,52
339, html ,web_tasarim,52
340,ajax ,web_tasarim,52
341,javascript ,web_tasarim,52
342,responsive,web_tasarim,52
343, mssql,web_tasarim,52
344,java,web_tasarim,52
345, swift,web_tasarim,52
346, android studio,web_tasarim,52
347, xcode,web_tasarim,52
348,analitik dusunen,web_tasarim,52
349,json,web_tasarim,52
350,ingilizce,web_tasarim,52
351,html ,web_tasarim,53
352,ajax ,web_tasarim,53
353,mysql,web_tasarim,53
354, jquery,web_tasarim,53
355, bootstrap,web_tasarim,53
356, wordpress,web_tasarim,53
357, linux,web_tasarim,53
358,rest ,web_tasarim,53
359,soap ,web_tasarim,53
360,json ,web_tasarim,53
361,javascript ,web_tasarim,54
362,html,web_tasarim,54
363,wordpress ,web_tasarim,54
364,office programlari,web_tasarim,55
365,adobe photoshop ,web_tasarim,55
366,adope fireworks ,web_tasarim,55
367,sketch ,web_tasarim,55
368,sosyal medya,web_tasarim,55
369,grafik tasarim ,web_tasarim,55
370,html,web_tasarim,55
371,online ticaret,web_tasarim,55
372,javascript,web_tasarim,56
373, html,web_tasarim,56
374,devexpress,web_tasarim,56
375,raporlama,web_tasarim,56
376, ingilizce,web_tasarim,56
377, html ,web_tasarim,57
378,xhtml ,web_tasarim,57
379,http ,web_tasarim,57
380,json ,web_tasarim,57
381,ajax,web_tasarim,57
382, javascript,web_tasarim,57
383, jquery,web_tasarim,57
384,guvenlik,web_tasarim,57
385,mysql,web_tasarim,58
386, json,web_tasarim,58
387,html,web_tasarim,58
388,tasarim,web_tasarim,58
389,bootstrap,web_tasarim,58
390, photoshop  ,web_tasarim,59
391, ingilizce,web_tasarim,59
392,ticaret,web_tasarim,59
393, kategori duzenleme,web_tasarim,59
394,html,web_tasarim,60
395, ingilizce,web_tasarim,60
396,photoshop ,web_tasarim,60
397,fireworks dreamwevar ,web_tasarim,60
398,html ,web_tasarim,60
399,wordpress ,web_tasarim,60
400,bootstrap,web_tasarim,61
401, html,web_tasarim,61
402, react ,web_tasarim,61
403,redux ,web_tasarim,61
404,nodejs,web_tasarim,61
405, extreact ,web_tasarim,61
406,coffeescript ,web_tasarim,61
407,typescript ,web_tasarim,61
408,less ,web_tasarim,61
409,sass ,web_tasarim,61
410,soap,web_tasarim,61
411,rest,web_tasarim,61
412,html javascript ,web_tasarim,61
413,react,web_tasarim,61
414,fonksiyonel programlama,web_tasarim,62
415, devops,web_tasarim,62
416,rest ,web_tasarim,62
417,graphql,web_tasarim,62
418,node,web_tasarim,62
419,json,web_tasarim,62
420, javascript ,web_tasarim,62
421,ecmascript ,web_tasarim,62
422,typescript,web_tasarim,62
423,sass ,web_tasarim,62
424,less ,web_tasarim,62
425,postcss,web_tasarim,62
426,react,web_tasarim,62
427,javascript,web_tasarim,63
428, versiyon kontrol ,web_tasarim,63
429, ingilizce,web_tasarim,63
430,guvenlik,web_tasarim,64
431, full stack,web_tasarim,64
432, nesneye dayali programlama,web_tasarim,64
433,html,web_tasarim,64
434,javascript,web_tasarim,64
435,nosql,web_tasarim,64
436,javascript,web_tasarim,65
437, angularjs,web_tasarim,65
438, react,web_tasarim,65
439,knockout,web_tasarim,65
440,backbone,web_tasarim,65
441,html,web_tasarim,65
442,jquery,web_tasarim,65
443,react,web_tasarim,65
444,typscript,web_tasarim,65
445, less ,web_tasarim,65
446,sass ,web_tasarim,65
447,responsive ,web_tasarim,65
448,inglizce,web_tasarim,65
449,frontend developer,web_tasarim,65
450,html,web_tasarim,66
451, bootstrap,web_tasarim,66
452, javascript,web_tasarim,66
453, jquery,web_tasarim,66
454,typescript,web_tasarim,66
455, angularjs,web_tasarim,66
456, html,web_tasarim,67
457, javascript,web_tasarim,67
458, json ,web_tasarim,67
459,jquery ,web_tasarim,67
460,soap,web_tasarim,67
461,photoshop illustrator,web_tasarim,68
462,wordpress,web_tasarim,68
463,html,web_tasarim,68
464,cpanel,web_tasarim,68
465,javascript,web_tasarim,69
466,react ,web_tasarim,69
467,typescript ,web_tasarim,69
468,html,web_tasarim,69
469, restful apis,web_tasarim,69
470, sass ,web_tasarim,69
471,less,web_tasarim,69
472, javascript ,web_tasarim,69
473,jquery ,web_tasarim,69
474,ajax,web_tasarim,69
475,soap,web_tasarim,69
476,rest,web_tasarim,69
477,json,web_tasarim,69
478,ingilizce,web_tasarim,69
479,html sass ,web_tasarim,70
480,modern javascript ,web_tasarim,70
481,react ,web_tasarim,70
482,redux,web_tasarim,70
483,vuex,web_tasarim,70
484,photoshop sketch ,web_tasarim,70
485,yazilim gelistirme,web_tasarim,71
486, gorsel tasarim,web_tasarim,71
487, wordpress,web_tasarim,71
488, html,web_tasarim,71
489,office programlari,is_analizi_raporlama,72
490,  microsoft axapta,is_analizi_raporlama,72
491,iletisim becerilerine sahip,is_analizi_raporlama,72
492, kendini gelistiren,is_analizi_raporlama,72
493,veri analizi,is_analizi_raporlama,73
494, veri analitigi,is_analizi_raporlama,73
495, musteri yonetimi,is_analizi_raporlama,73
496, raporlama,is_analizi_raporlama,73
497,office programlari,is_analizi_raporlama,74
498, ingilizce,is_analizi_raporlama,74
499, yazilim gelistirme,is_analizi_raporlama,74
500,problem analizi ve cozumu,is_analizi_raporlama,74
501, organizasyon,is_analizi_raporlama,74
502,iliskisel veri tabani,is_analizi_raporlama,75
503, office programlari,is_analizi_raporlama,75
504, yazilim gelistirme,is_analizi_raporlama,75
505,proje yonetim ,is_analizi_raporlama,75
506, yazilim test,is_analizi_raporlama,75
507,analitik dusunen,is_analizi_raporlama,76
508, surec analizi,is_analizi_raporlama,76
509, raporlama,is_analizi_raporlama,76
510,ekip liderligi,is_analizi_raporlama,76
511,sorumluluk sahibi,is_analizi_raporlama,76
512,finans,is_analizi_raporlama,77
513,sayisal analiz,is_analizi_raporlama,77
514,inglizce,is_analizi_raporlama,77
515,iletisim becerine sahip,is_analizi_raporlama,77
516,kendine guvenen,is_analizi_raporlama,77
517,analiz yapan,is_analizi_raporlama,77
518,raporlama,is_analizi_raporlama,77
519,ingilizce,is_analizi_raporlama,78
520, programlama,is_analizi_raporlama,78
521,algoritma,is_analizi_raporlama,78
522,veri tabani,is_analizi_raporlama,78
523,hata analizi,is_analizi_raporlama,78
524, office programlari,is_analizi_raporlama,78
525,urun gelistirme,is_analizi_raporlama,78
526,iletisim becerilerine sahip,is_analizi_raporlama,78
527,yazilim gelistirme,is_analizi_raporlama,79
528,analiz,is_analizi_raporlama,79
529,ingilizce,is_analizi_raporlama,79
530,problem yonetimi,is_analizi_raporlama,79
531,analiz,is_analizi_raporlama,79
532,raporlama,is_analizi_raporlama,79
533,fizibilite,is_analizi_raporlama,79
534,istatistik,is_analizi_raporlama,80
535,office programlari,is_analizi_raporlama,80
536,surec analizi,is_analizi_raporlama,80
537,sigortacilik,is_analizi_raporlama,80
538,analitik dusunen,is_analizi_raporlama,80
539,raporlama,is_analizi_raporlama,80
540,iletisim becerilerine sahip,is_analizi_raporlama,80
541,veri yorumlama,is_analizi_raporlama,81
542, analiz,is_analizi_raporlama,81
543,akis diyagramlari,is_analizi_raporlama,81
544,sistem tasarimi,is_analizi_raporlama,81
545,veri yapilari,is_analizi_raporlama,82
546,office programlari,is_analizi_raporlama,82
547,surec yonetimi,is_analizi_raporlama,82
548,analitik dusunen,is_analizi_raporlama,82
549,ekonoetri,is_analizi_raporlama,83
550,teknik analiz,is_analizi_raporlama,83
551,raporlama,is_analizi_raporlama,83
552,test senaryo,is_analizi_raporlama,84
553,analiz,is_analizi_raporlama,84
554,ingilizce,is_analizi_raporlama,84
555,finans,is_analizi_raporlama,85
556,analiz,is_analizi_raporlama,85
557, cbap,is_analizi_raporlama,86
558,ccba ,is_analizi_raporlama,86
559,yazilim gelistirme ve test,is_analizi_raporlama,86
560, analiz,is_analizi_raporlama,86
561,office programlari,is_analizi_raporlama,86
562,soap rest servis,is_analizi_raporlama,87
563, analitik dusunen,is_analizi_raporlama,87
564,hizli ogrenen,is_analizi_raporlama,87
565,test,is_analizi_raporlama,87
566, analiz,is_analizi_raporlama,87
567,isletim sistemleri,is_analizi_raporlama,88
568,bulut,is_analizi_raporlama,88
569,sanallastirma,is_analizi_raporlama,88
570,guvenlik,is_analizi_raporlama,88
571,analiz,is_analizi_raporlama,88
572,kalite yonetim sistemi,is_analizi_raporlama,89
573, statik dinamik biyomekanik testleri,is_analizi_raporlama,89
574,ingilizce,is_analizi_raporlama,89
575,raporlama,is_analizi_raporlama,89
